STATION,DATE,MAX
72530094846,2014-11-05,60.1
72530094846,2014-11-06,60.1
72530094846,2014-11-07,51.1
72530094846,2014-11-08,46.9
72530094846,2014-11-09,52.0
72530094846,2014-11-10,62.1
72530094846,2014-11-11,62.1
72530094846,2014-11-12,34.0
72530094846,2014-11-13,30.9
72530094846,2014-11-14,28.9
72530094846,2014-11-15,30.9
72530094846,2014-11-16,30.9
72530094846,2014-11-17,30.9
72530094846,2014-11-18,21.0
72530094846,2014-11-19,32.0
72530094846,2014-11-20,32.0
72530094846,2014-11-21,33.1
72530094846,2014-11-22,51.1
72530094846,2014-11-23,52.0
72530094846,2014-11-24,52.0
72530094846,2014-11-25,27.0
72530094846,2014-11-26,28.9
72530094846,2014-11-27,28.9
72530094846,2014-11-28,32.0
72530094846,2014-11-29,51.1
72530094846,2014-11-30,51.1
72530094846,2014-12-01,33.1
72530094846,2014-12-02,34.0
72530094846,2014-12-03,37.0
72530094846,2014-12-04,37.0
72530094846,2014-12-05,39.9
72530094846,2014-12-06,39.9
72530094846,2014-12-07,39.9
72530094846,2014-12-08,37.0
72530094846,2014-12-09,37.9
72530094846,2014-12-10,37.9
72530094846,2014-12-11,33.1
72530094846,2014-12-12,37.0
72530094846,2014-12-13,46.0
72530094846,2014-12-14,50.0
72530094846,2014-12-15,50.0
72530094846,2014-12-16,46.0
72530094846,2014-12-17,45.0
72530094846,2014-12-18,28.9
72530094846,2014-12-19,32.0
72530094846,2014-12-20,33.1
72530094846,2014-12-21,36.0
72530094846,2014-12-22,39.0
72530094846,2014-12-23,48.0
72530094846,2014-12-24,48.0
72530094846,2014-12-25,42.1
72530094846,2014-12-26,50.0
72530094846,2014-12-27,50.0
72530094846,2014-12-28,48.9
72530094846,2014-12-29,35.1
72530094846,2014-12-30,30.0
72530094846,2014-12-31,19.9
72530094846,2015-01-01,32.0
72530094846,2015-01-02,34.0
72530094846,2015-01-03,34.0
72530094846,2015-01-04,34.0
72530094846,2015-01-05,12.9
72530094846,2015-01-06,10.0
72530094846,2015-01-07,10.0
72530094846,2015-01-08,10.9
72530094846,2015-01-09,18.0
72530094846,2015-01-10,19.0
72530094846,2015-01-11,32.0
72530094846,2015-01-12,32.0
72530094846,2015-01-13,28.0
72530094846,2015-01-14,19.0
72530094846,2015-01-15,34.0
72530094846,2015-01-16,34.0
72530094846,2015-01-17,42.1
72530094846,2015-01-18,42.1
72530094846,2015-01-19,41.0
72530094846,2015-01-20,41.0
72530094846,2015-01-21,36.0
72530094846,2015-01-22,33.1
72530094846,2015-01-23,30.9
72530094846,2015-01-24,43.0
72530094846,2015-01-25,43.0
72530094846,2015-01-26,34.0
72530094846,2015-01-27,32.0
72530094846,2015-01-28,33.1
72530094846,2015-01-29,35.1
72530094846,2015-01-30,35.1
72530094846,2015-01-31,36.0
72530094846,2015-02-01,36.0
72530094846,2015-02-02,30.9
72530094846,2015-02-03,24.1
72530094846,2015-02-04,26.1
72530094846,2015-02-05,25.0
72530094846,2015-02-06,30.9
72530094846,2015-02-07,41.0
72530094846,2015-02-08,41.0
72530094846,2015-02-09,39.0
72530094846,2015-02-10,33.1
72530094846,2015-02-11,35.1
72530094846,2015-02-12,35.1
72530094846,2015-02-13,21.9
72530094846,2015-02-14,27.0
72530094846,2015-02-15,27.0
72530094846,2015-02-16,18.0
72530094846,2015-02-17,19.0
72530094846,2015-02-18,19.0
72530094846,2015-02-19,8.1
72530094846,2015-02-20,17.1
72530094846,2015-02-21,30.9
72530094846,2015-02-22,32.0
72530094846,2015-02-23,10.9
72530094846,2015-02-24,28.9
72530094846,2015-02-25,28.9
72530094846,2015-02-26,26.1
72530094846,2015-02-27,19.0
72530094846,2015-02-28,21.0
72530094846,2015-03-01,25.0
72530094846,2015-03-02,33.1
72530094846,2015-03-03,34.0
72530094846,2015-03-04,34.0
72530094846,2015-03-05,30.9
72530094846,2015-03-06,27.0
72530094846,2015-03-07,43.0
72530094846,2015-03-08,44.1
72530094846,2015-03-09,50.0
72530094846,2015-03-10,51.1
72530094846,2015-03-11,51.1
72530094846,2015-03-12,55.9
